Gender,Education,Life Expectancy,Avg. Income,Country,Continent
Female,15.40,66.30,0,Montenegro,Europe
Total,11.10,52.30,3190,Morocco,Africa
Male,11.60,82.70,0,Morocco,Africa
Female,10.60,78.70,0,Morocco,Africa
Total,9.60,63.50,480,Mozambique,Africa
Male,10.30,82.70,0,Mozambique,Africa
Female,8.90,78.90,0,Mozambique,Africa
Total,9.20,56.70,1390,Myanmar,Asia
Male,,75.60,0,Myanmar,Asia
Female,,69.20,0,Myanmar,Asia
Total,11.90,67.60,5060,Namibia,Africa
Male,11.80,58.40,0,Namibia,Africa
Female,12.00,56.40,0,Namibia,Africa
Total,12.00,80.80,1090,Nepal,Asia
Male,12.10,51.70,0,Nepal,Asia
Female,11.90,50.20,0,Nepal,Asia
Total,17.00,80.90,53200,Netherlands,Europe
Male,16.90,76.70,0,Netherlands,Europe
Female,17.10,72.70,0,Netherlands,Europe
Total,19.80,72.40,42670,New Zealand,Oceania
Male,18.90,83.30,0,New Zealand,Oceania
Female,20.50,79.00,0,New Zealand,Oceania
Total,11.50,57.30,1910,Nicaragua,North America
Male,11.30,78.20,0,Nicaragua,North America
Female,11.80,73.90,0,Nicaragua,North America
Total,4.70,50.90,560,Niger,Africa
Male,5.40,66.20,0,Niger,Africa
Female,4.10,64.40,0,Niger,Africa
Total,8.40,74.70,2030,Nigeria,Africa
Male,8.80,74.60,0,Nigeria,Africa
Female,7.90,71.10,0,Nigeria,Africa
Total,12.90,81.20,5910,North Macedonia,Europe
Male,12.90,79.80,0,North Macedonia,Europe
Female,12.90,73.90,0,North Macedonia,Europe
Total,17.50,75.70,82500,Norway,Europe
Male,16.90,63.40,0,Norway,Europe
Female,18.30,60.70,0,Norway,Europe
Total,13.40,65.30,15330,Oman,Asia
Male,13.30,74.70,0,Oman,Asia
Female,13.40,70.70,0,Oman,Asia
Total,7.50,71.50,1530,Pakistan,Asia
Male,8.20,76.90,0,Pakistan,Asia
Female,6.80,72.00,0,Pakistan,Asia
Total,14.20,76.80,17280,Palau,Oceania
Male,13.60,80.50,0,Palau,Oceania
Female,14.80,72.10,0,Palau,Oceania
Total,12.80,62.00,14950,Panama,North America
Male,12.40,83.10,0,Panama,North America
Female,13.30,76.80,0,Panama,North America
Total,9.80,72.70,2780,Papua New Guinea,Oceania
Male,,80.70,0,Papua New Guinea,Oceania
Female,,77.90,0,Papua New Guinea,Oceania
Total,12.30,74.40,5510,Paraguay,South America
Male,12.00,77.60,0,Paraguay,South America
Female,12.60,70.60,0,Paraguay,South America
Total,13.40,69.80,6740,Peru,South America
Male,13.40,74.80,0,Peru,South America
Female,13.50,62.80,0,Peru,South America
Total,11.70,76.30,3850,Philippines,Asia
Male,11.50,65.10,0,Philippines,Asia
Female,11.90,61.70,0,Philippines,Asia
Total,15.30,80.00,15200,Poland,Europe
Male,14.60,76.30,0,Poland,Europe
Female,16.10,73.50,0,Poland,Europe
Total,16.00,79.10,23080,Portugal,Europe
Male,15.80,74.30,0,Portugal,Europe
Female,16.30,69.50,0,Portugal,Europe
Total,12.80,74.10,63410,Qatar,Asia
Male,12.30,74.00,0,Qatar,Asia
Female,13.40,69.50,0,Qatar,Asia
Total,15.40,68.70,12630,Romania,Europe
Male,14.90,69.70,0,Romania,Europe
Female,16.00,65.20,0,Romania,Europe
Total,14.00,63.40,11260,Russian Federation,Europe
Male,13.50,75.50,0,Russian Federation,Europe
Female,14.60,72.60,0,Russian Federation,Europe
